Date,Open,High,Low,Close,Volume
2025-01-02 16:00:00,248.93,249.1,241.82,243.85,55740731
2025-01-03 16:00:00,243.36,244.18,241.89,243.36,40244114
2025-01-06 16:00:00,244.31,247.33,243.2,245,45045571
2025-01-07 16:00:00,242.98,245.55,241.35,242.21,40855960
2025-01-08 16:00:00,241.92,243.71,240.05,242.7,37628940
2025-01-10 16:00:00,240.01,240.16,233,236.85,61710856
2025-01-13 16:00:00,233.53,234.67,229.72,234.4,49630725
2025-01-14 16:00:00,234.75,236.12,232.47,233.28,39435294
2025-01-15 16:00:00,234.64,238.96,234.43,237.87,39831969
2025-01-16 16:00:00,237.35,238.01,228.03,228.26,71759052
2025-01-17 16:00:00,232.12,232.29,228.48,229.98,68488301
2025-01-21 16:00:00,224,224.42,219.38,222.64,98070429
2025-01-22 16:00:00,219.79,224.12,219.79,223.83,64126500
2025-01-23 16:00:00,224.74,227.03,222.3,223.66,60234760
2025-01-24 16:00:00,224.78,225.63,221.41,222.78,54697907
2025-01-27 16:00:00,224.02,232.15,223.98,229.86,94863418
2025-01-28 16:00:00,230.85,240.19,230.81,238.26,75707569
2025-01-29 16:00:00,234.12,239.86,234.01,239.36,45486100
2025-01-30 16:00:00,238.67,240.79,237.21,237.59,55658279
2025-01-31 16:00:00,247.19,247.19,233.44,236,101075128
2025-02-03 16:00:00,229.99,231.83,225.7,228.01,73063301
2025-02-04 16:00:00,227.25,233.13,226.65,232.8,45067301
2025-02-05 16:00:00,228.53,232.67,228.27,232.47,39664989
2025-02-06 16:00:00,231.29,233.8,230.43,233.22,29925349
2025-02-07 16:00:00,232.6,234,227.26,227.63,39707224
2025-02-10 16:00:00,229.57,230.59,227.2,227.65,33115645
2025-02-11 16:00:00,228.2,235.23,228.13,232.62,53718362
2025-02-12 16:00:00,231.2,236.96,230.68,236.87,45243292
2025-02-13 16:00:00,236.91,242.34,235.57,241.53,53614054
2025-02-14 16:00:00,241.25,245.55,240.99,244.6,40896227
2025-02-18 16:00:00,244.15,245.18,241.84,244.47,48822491
2025-02-19 16:00:00,244.66,246.01,243.16,244.87,32204215
2025-02-20 16:00:00,244.94,246.78,244.29,245.83,32316907
2025-02-21 16:00:00,245.95,248.69,245.22,245.55,53197431
2025-02-24 16:00:00,244.93,248.86,244.42,247.1,51326396
2025-02-25 16:00:00,248,250,244.91,247.04,48013272
2025-02-26 16:00:00,244.33,244.98,239.13,240.36,44433564
2025-02-27 16:00:00,239.41,242.46,237.06,237.3,41153639
2025-02-28 16:00:00,236.95,242.09,230.2,241.84,56833360
2025-03-03 16:00:00,241.79,244.03,236.11,238.03,47183985
2025-03-04 16:00:00,237.71,240.07,234.68,235.93,53798062
2025-03-05 16:00:00,235.42,236.55,229.23,235.74,47227643
2025-03-06 16:00:00,234.44,237.86,233.16,235.33,45170419
2025-03-07 16:00:00,235.11,241.37,234.76,239.07,46273565
2025-03-10 16:00:00,235.54,236.16,224.22,227.48,72071197
2025-03-11 16:00:00,223.81,225.84,217.45,220.84,76137410
2025-03-12 16:00:00,220.14,221.75,214.91,216.98,62547467
2025-03-13 16:00:00,215.95,216.84,208.42,209.68,61368330
2025-03-14 16:00:00,211.25,213.95,209.58,213.49,60107582
2025-03-17 16:00:00,213.31,215.22,209.97,214,48073426
2025-03-18 16:00:00,214.16,215.15,211.49,212.69,42432426
2025-03-19 16:00:00,214.22,218.76,213.75,215.24,54385391
2025-03-20 16:00:00,213.99,217.49,212.22,214.1,48862947
2025-03-21 16:00:00,211.56,218.84,211.28,218.27,94127768
2025-03-24 16:00:00,221,221.48,218.58,220.73,44299483
2025-03-25 16:00:00,220.77,224.1,220.08,223.75,34493583
2025-03-26 16:00:00,223.51,225.02,220.47,221.53,34532656
2025-03-27 16:00:00,221.39,224.99,220.56,223.85,37094774
2025-03-28 16:00:00,221.67,223.81,217.68,217.9,39818617
2025-03-31 16:00:00,217.01,225.62,216.23,222.13,65299321
2025-04-01 16:00:00,219.81,223.68,218.9,223.19,36412740
2025-04-02 16:00:00,221.32,225.19,221.02,223.89,35905904
2025-04-03 16:00:00,205.54,207.49,201.25,203.19,103419006
2025-04-04 16:00:00,193.89,199.88,187.34,188.38,125910913
2025-04-07 16:00:00,177.2,194.15,174.62,181.46,160466286
2025-04-08 16:00:00,186.7,190.34,169.21,172.42,120859491
2025-04-09 16:00:00,171.95,200.61,171.89,198.85,184395885
2025-04-10 16:00:00,189.07,194.78,183,190.42,121879981
2025-04-11 16:00:00,186.1,199.54,186.06,198.15,87435915
2025-04-14 16:00:00,211.44,212.94,201.16,202.52,101352911
2025-04-15 16:00:00,201.86,203.51,199.8,202.14,51343872
2025-04-16 16:00:00,198.36,200.7,192.37,194.27,59732423
2025-04-17 16:00:00,197.2,198.83,194.42,196.98,52164675
2025-04-21 16:00:00,193.27,193.8,189.81,193.16,46742537
2025-04-22 16:00:00,196.12,201.59,195.97,199.74,52976371
2025-04-23 16:00:00,206,208,202.8,204.6,52929165
2025-04-24 16:00:00,204.89,208.83,202.94,208.37,47310989
2025-04-25 16:00:00,206.37,209.75,206.2,209.28,38222258
2025-04-28 16:00:00,210,211.5,207.46,210.14,38743074
2025-04-29 16:00:00,208.69,212.24,208.37,211.21,36827633
2025-04-30 16:00:00,209.3,213.58,206.67,212.5,52286454
2025-05-01 16:00:00,209.08,214.56,208.9,213.32,57365675
2025-05-02 16:00:00,206.09,206.99,202.16,205.35,101010621
2025-05-05 16:00:00,203.1,204.1,198.21,198.89,69018452
2025-05-06 16:00:00,198.21,200.65,197.02,198.51,51216482
2025-05-07 16:00:00,199.17,199.44,193.25,196.25,68616943
2025-05-08 16:00:00,197.72,200.05,194.68,197.49,50478872
2025-05-09 16:00:00,199,200.54,197.54,198.53,36453923
2025-05-12 16:00:00,210.97,211.27,206.75,210.79,63775814
2025-05-13 16:00:00,210.43,213.4,209,212.93,51909332
2025-05-14 16:00:00,212.43,213.94,210.58,212.33,49325825
2025-05-15 16:00:00,210.95,212.96,209.54,211.45,45029473
2025-05-16 16:00:00,212.36,212.57,209.77,211.26,54737850
2025-05-19 16:00:00,207.91,209.48,204.26,208.78,46140527
2025-05-20 16:00:00,207.67,208.47,205.03,206.86,42496635
2025-05-21 16:00:00,205.17,207.04,200.71,202.09,59211774
2025-05-22 16:00:00,205.17,207.04,200.71,202.09,1536434
2025-05-23 16:00:00,193.67,197.7,193.46,195.27,78432918
2025-05-27 16:00:00,198.3,200.74,197.43,200.21,56288475
2025-05-28 16:00:00,200.59,202.73,199.9,200.42,45339678
2025-05-29 16:00:00,203.58,203.81,198.51,199.95,51477938
2025-05-30 16:00:00,199.37,201.96,196.78,200.85,70819942
2025-06-02 16:00:00,200.28,202.13,200.12,201.7,35423294
2025-06-03 16:00:00,201.35,203.77,200.96,203.27,46381567
2025-06-04 16:00:00,202.91,206.24,202.1,202.82,43603985
2025-06-05 16:00:00,203.5,204.75,200.15,200.63,55221235
2025-06-06 16:00:00,203,205.7,202.05,203.92,46607693
2025-06-09 16:00:00,204.39,206,200.02,201.45,72862557
2025-06-10 16:00:00,200.6,204.35,200.57,202.67,54672608
2025-06-11 16:00:00,203.5,204.5,198.41,198.78,60989857
2025-06-12 16:00:00,199.08,199.68,197.36,199.2,43904635
2025-06-13 16:00:00,199.73,200.37,195.7,196.45,51447349
2025-06-16 16:00:00,197.3,198.69,196.56,198.42,43020691
2025-06-17 16:00:00,197.2,198.39,195.21,195.64,38856152
2025-06-18 16:00:00,195.94,197.57,195.07,196.58,45394689
2025-06-20 16:00:00,198.24,201.7,196.86,201,96813542
2025-06-23 16:00:00,201.63,202.3,198.96,201.5,55814272
2025-06-24 16:00:00,202.59,203.44,200.2,200.3,54064033
2025-06-25 16:00:00,201.45,203.67,200.62,201.56,39525730
2025-06-26 16:00:00,201.43,202.64,199.46,201,50799121
2025-06-27 16:00:00,201.89,203.22,200,201.08,73188571
2025-06-30 16:00:00,202.01,207.39,199.26,205.17,91912816
2025-07-01 16:00:00,206.67,210.19,206.14,207.82,78788867
2025-07-02 16:00:00,208.91,213.34,208.14,212.44,67941811
2025-07-03 13:05:00,212.15,214.65,211.81,213.55,34955836
2025-07-07 16:00:00,212.68,216.23,208.8,209.95,50228984
2025-07-08 16:00:00,210.1,211.43,208.45,210.01,42848928
2025-07-09 16:00:00,209.53,211.33,207.22,211.14,48749367
2025-07-10 16:00:00,210.51,213.48,210.03,212.41,44443635
2025-07-11 16:00:00,210.57,212.13,209.86,211.16,39765812
2025-07-14 16:00:00,209.93,210.91,207.54,208.62,38840111
2025-07-15 16:00:00,209.22,211.89,208.92,209.11,42296339
2025-07-16 16:00:00,210.3,212.4,208.64,210.16,47490532
2025-07-17 16:00:00,210.57,211.8,209.59,210.02,48068141
2025-07-18 16:00:00,210.87,211.79,209.7,211.18,48974591
