Date,Open,High,Low,Close,Volume
2025-01-02 16:00:00,381.5,385.28,371.48,372.31,1350690
2025-01-03 16:00:00,375.52,382.03,373.77,378.18,1032678
2025-01-06 16:00:00,381.42,396.59,381.42,395.31,1729661
2025-01-07 16:00:00,403.87,414.82,393.15,393.46,1845211
2025-01-08 16:00:00,390,393.22,386.18,392.92,973724
2025-01-10 16:00:00,391.76,397.35,388.67,395.47,1322082
2025-01-13 16:00:00,401.92,404.75,389.48,398.86,2086783
2025-01-14 16:00:00,400,401.95,384.06,388.74,2531450
2025-01-15 16:00:00,391.54,393.35,374.4,376.66,2195750
2025-01-16 16:00:00,377.67,377.86,367.15,370.99,1805301
2025-01-17 16:00:00,378.27,378.53,373.04,373.7,1344060
2025-01-21 16:00:00,375.94,377.73,367.2,372.81,2115492
2025-01-22 16:00:00,371.99,383.38,370,382.82,1838456
2025-01-23 16:00:00,383.45,389.5,379.31,387.85,1445175
2025-01-24 16:00:00,390.12,400.79,385.73,400.03,1969629
2025-01-27 16:00:00,395.48,408.12,394.5,402.9,2337863
2025-01-28 16:00:00,404.39,416,403.24,409.42,1660797
2025-01-29 16:00:00,410.38,413.55,407.6,411.16,976799
2025-01-30 16:00:00,415,423.32,413.51,421.16,1519732
2025-01-31 16:00:00,419.11,422.87,412,414.2,1297961
2025-02-03 16:00:00,404.5,413.14,399.48,410.29,1752573
2025-02-04 16:00:00,409.24,417.91,408.43,415.9,1088367
2025-02-05 16:00:00,415.98,417,411.07,412.8,1186709
2025-02-06 16:00:00,416.25,417.12,407.74,411.83,1236545
2025-02-07 16:00:00,414.14,414.14,396.74,398.1,1487987
2025-02-10 16:00:00,398.1,401.07,387.28,399.71,1341692
2025-02-11 16:00:00,398.17,403.21,397.13,397.63,866275
2025-02-12 16:00:00,392.95,399.78,390.3,395.16,1169522
2025-02-13 16:00:00,400.01,400.01,390.03,390.85,1529602
2025-02-14 16:00:00,393.52,393.54,365.62,366.68,3310326
2025-02-18 16:00:00,365.68,372.94,354.05,372.44,2250957
2025-02-19 16:00:00,370.11,374.41,362.87,367.22,1423416
2025-02-20 16:00:00,367.21,369.53,359.1,365.82,1463217
2025-02-21 16:00:00,366,366.99,354.29,358.97,1400582
2025-02-24 16:00:00,364,372.41,360,368.22,2001716
2025-02-25 16:00:00,366.41,370.25,359.19,366.72,1365479
2025-02-26 16:00:00,366.33,372.66,363.08,366.03,1242150
2025-02-27 16:00:00,364.64,371.75,359.31,362.16,1438707
